Name,Country,ID,Temperature,Latitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Jeremie,HT,3723593,75.66,18.65,98,0,4.38
Kapaa,US,5848280,75.2,22.08,60,1,13.87
Georgetown,GY,3378644,73.4,6.8,88,20,4.7
Brae,GB,2654970,46.4,60.4,81,0,19.46
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Mahebourg,MU,934322,80.6,-20.41,88,40,5.17
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Port Keats,AU,2063039,93.43,-14.25,78,0,6.73
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Bethel,US,5880568,36.5,60.79,51,1,20.8
Beringovskiy,RU,2126710,32.77,63.05,96,92,24.07
Thompson,CA,6165406,-0.41,55.74,77,90,9.17
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Pandan,PH,1695555,79.48,11.72,97,0,16.24
Saint-Philippe,CA,6138908,23.31,45.36,68,1,3.36
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Honiara,SB,2108502,77.82,-9.43,95,92,2.37
Necochea,AR,3430443,61.62,-38.55,73,0,19.71
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Vieques,PR,4568570,74.26,18.43,88,75,5.82
Cabedelo,BR,3404558,77.0,-6.97,100,20,2.24
Nome,US,4732862,55.85,30.04,82,1,6.96
Gouyave,GD,3580279,77.0,12.16,83,75,19.46
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Peniche,PT,2264923,50.0,39.36,61,0,2.24
Tuatapere,NZ,2180815,51.76,-46.13,100,88,13.11
Vao,EE,588365,30.79,59.1,95,8,6.4
Pisco,PE,3932145,73.4,-13.71,78,75,6.93
Ahipara,NZ,2194098,66.3,-35.17,88,88,23.06
Port Alfred,ZA,964432,68.77,-33.59,97,48,10.98
Yulara,AU,6355222,98.6,-25.24,14,0,10.29
Gizo,IL,6693679,47.34,31.8,87,0,3.36
Mayumba,GA,2399001,78.31,-3.44,98,0,3.38
Tuktoyaktuk,CA,6170031,-7.61,69.44,76,75,10.29
Bredasdorp,ZA,1015776,64.4,-34.53,88,80,3.36
Dukat,RS,786562,13.51,42.44,63,0,5.39
Werda,DE,2810970,22.84,50.44,85,0,3.36
New Norfolk,AU,2155415,73.4,-42.78,43,0,14.99
Narsaq,GL,3421719,19.4,60.91,48,20,5.82
Malanje,AO,2239862,61.62,-9.54,95,48,2.48
Cherskiy,RU,2126199,-18.62,68.75,79,32,5.61
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Bethel,US,5880568,36.5,60.79,51,1,20.8
Melbourne,AU,2158177,88.88,-37.81,22,0,10.29
Tomball,US,4737094,59.97,30.1,29,1,10.29
Albany,US,5106834,32.34,42.65,74,90,5.82
Cape Town,ZA,3369157,66.2,-33.93,100,75,11.41
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Lompoc,US,5367788,48.88,34.64,65,1,4.94
Cherskiy,RU,2126199,-18.62,68.75,79,32,5.61
Jamestown,AU,2069194,88.62,-33.21,26,0,10.09
Vila Franca do Campo,PT,3372472,59.0,37.72,62,75,18.34
Hilo,US,5855927,71.6,19.71,94,90,9.17
